5/15,沖縄返還の日、ヨーグルトの日、ストッキングの日、Ｊリーグの日
5/16,旅の日
5/17,世界電気通信記念日、パック旅行の日
5/18,国際親善デー、国際博物館の日、ことばの日
5/19,ボクシング記念日、チャンピオンの日
5/20,世界計量記念日、ローマ字の日、森林の日
5/21,小学校開校の日、リンドバーグ翼の日
5/22,ガールスカウトの日、国際生物多様性の日
5/23,世界亀の日、キスの日、ラブレターの日
5/24,ゴルフ場記念日
5/25,食堂車の日、広辞苑記念日
5/26,ラッキーゾーンの日、ル・マンの日
5/27,海軍記念日、百人一首の日、小松菜の日
5/28,ゴルフ記念日、国際アムネスティ記念日
5/29,呉服の日、こんにゃくの日
5/30,消費者の日、ごみゼロの日、掃除機の日
5/31,世界禁煙デー
6/1,気象記念日、電波の日、景観の日、写真の日、麦茶の日、チューインガムの日、氷の日、真珠の日、バッジの日、ねじの日、人権擁護委員の日、TUBEの日
6/2,路地の日、裏切りの日
6/3,測量の日、ムーミンの日、ケロミンの日、雲仙普賢岳祈りの日
6/4,虫の日
6/5,環境の日、熱気球記念日
6/6,補聴器の日、邦楽の日、楽器の日、梅の日、かえるの日、兄の日
6/7,母親大会記念日、むち打ち治療の日
6/8,バイキングの日
6/9,ロックの日、ネッシーの日
6/10,時の記念日、路面電車の日、商工会の日、歩行者天国の日、ミルクキャラメルの日
6/11,国立銀行設立の日、雨漏り点検の日
6/12,恋人の日、日記の日、バザー記念日、宮城県防災の日
6/13,鉄人の日、FMの日、小さな親切の日、はやぶさの日
6/14,フラッグデー
6/15,信用金庫の日、暑中見舞いの日
6/16,和菓子の日、麦とろの日、ケーブルテレビの日、無重力の日
6/17,おまわりさんの日、薩摩の日
6/18,海外移住の日
6/19,元号の日、朗読の日、ベースボール記念日
6/20,難民の日、ペパーミントデー
6/21,スナックの日
6/22,かにの日、ボウリングの日、沖縄アマチュア無線の日
6/23,オリンピックデー、沖縄慰霊の日
6/24,UFO記念日、ドレミの日
6/25,住宅デー
6/26,露天風呂の日、オリエンテーリングの日、国民憲章調印記念日、国際麻薬乱用撲滅デー
6/27,演説の日、日照権の日、女性雑誌の日、ちらし寿司の日、メディア・リテラシーの日、ハピカジの日、ヘレン・ケラー・バースデー
6/28,貿易記念日、パフェの日
6/29,ビートルズ記念日、佃煮の日
6/30,トランジスタの日、集団疎開の日
7/1,国民安全の日、童謡の日、建築士の日、弁理士の日、郵便番号記念日、更生保護の日
7/2,ユネスコ加盟記念の日、たわしの日
7/3,ソフトクリームの日、波の日、通天閣の日
7/4,梨の日
7/5,ビキニスタイルの日、江戸切子の日、穴子の日
7/6,公認会計士の日、ゼロ戦の日
7/7,川の日、カルピスの日、冷やし中華の日、ポニーテールの日、ゆかたの日
7/8,那覇の日、質屋の日、ナンパの日
7/9,ジェットコースターの日
7/10,納豆の日、ブナピーの日
7/11,世界人口デー
7/12,人間ドックの日
7/13,日本標準時制定記念日、オカルト記念日、ナイスの日、2文字スピーチの日
7/14,検疫記念日、求人広告の日
7/15,ファミコンの日
7/16,駅弁記念日、国土交通Day
7/17,東京の日
7/18,光化学スモッグの日
7/19,女性大臣の日
7/20,勤労青少年の日、ハンバーガーの日、Tシャツの日、修学旅行の日
7/21,自然公園の日
7/22,円周率近似値の日、げたの日、ナッツの日
7/23,米騒動の日
7/24,劇画の日
7/25,最高気温記念日、うま味調味料の日、かき氷の日
7/26,幽霊の日
7/27,スイカの日
7/28,菜っ葉の日、なにわの日、冷蔵庫記念日、地名の日
7/29,アマチュア無線の日、白だしの日
7/30,梅干の日
7/31,蓄音機の日、こだまの日、パラグライダー記念日
8/1,水の日、観光の日、肺の日、夏の省エネ総点検の日、パインの日、麻雀の日
8/2,パンツの日、ハーブの日、博多人形の日、ハラスメントフリーの日
8/3,はちみつの日、はさみの日、破産の日、
8/4,橋の日、箸の日
8/5,箱の日、タクシーの日、ハードコアの日
8/6,広島原爆忌、ハムの日
8/7,鼻の日、花の日、バナナの日
8/8,そろばんの日、ヒゲの日、ひょうたんの日、屋根の日、プチプチの日、葉っぱの日
8/9,長崎原爆忌、野球の日、薬草の日、はり・きゅう・マッサージの日、ハグの日、パークの日、パソコン救急の日、パソコン検定の日
8/10,道の日、宿の日、帽子の日
8/11,スポーツ中継の日
8/12,国際青少年デー、君が代記念日
8/13,函館夜景の日
8/14,特許の日
8/15,終戦の日
8/16,女子大生の日
8/17,パイナップルの日、プロ野球ナイター記念日
8/18,高校野球記念日
8/19,バイクの日、俳句の日
8/20,蚊の日
8/21,噴水の日、献血記念日
8/22,チンチン電車の日
8/23,白虎隊の日
8/24,大噴火の日
8/25,即席ラーメン記念日
8/26,マザーテレサの日＝ケア心の日、レインボーブリッジの日、ユースホステルの日
8/27,寅さんの日
8/28,バイオリンの日
8/29,焼き肉の日、ケーブルカーの日
8/30,冒険家の日
8/31,野菜の日、大正天皇の誕生日
9/1,防災の日、キウイの日
9/2,宝くじの日、牛乳の日
